Date,Portfolio Profit Loss,Total Capital,Period Return (%),SPY Period Return (%)
2021-04-19,1386.705947723139,1001386.7059477231,13.867059477231388,-0.4913047650308866
2021-04-23,1373.41124396185,1002760.117191685,13.715093637697526,1.0842412350696051
2021-05-02,916.0503764522481,1003676.1675681373,9.135289295486992,-0.6169337672248809
2021-05-04,-697.556007723787,1002978.6115604135,-6.950010673402102,-0.6169337672248809
2021-05-13,-343.7470265982829,1002634.8645338152,-3.4272617844112188,1.201251837200945
2021-05-15,174.03550846240725,1002808.9000422776,1.7357815354179482,-0.26217825009537954
2021-05-19,-2562.1683716393873,1000246.7316706383,-25.549916554703177,-0.26217825009537954
2021-05-21,-1325.3314869763879,998921.400183662,-13.250045663861199,-0.08187158998508304
2021-05-27,3603.1975861583587,1002524.5977698204,36.07088190818491,0.052497486543567895
2021-06-01,1318.228938094265,1003842.8267079146,13.149093209550658,-0.08808568461590172
2021-06-04,1018.5885550042717,1004861.4152629188,10.146892799390873,0.9145872890425011
2021-06-24,376.7683061945563,1005238.1835691134,3.749455402225551,0.5915759498090534
2021-06-28,1081.9982908049144,1006320.1818599183,10.76360118915562,0.20159300032134286
2021-07-05,-433.3757633390368,1005886.8060965793,-4.306539520434298,0.3534055863952723
2021-07-07,677.6450781876761,1006564.451174767,6.736792590185467,0.3534055863952723
2021-08-17,14029.45356302887,1020593.9047377958,139.37958514882,-0.655523338877162
2021-08-19,29.540205357433017,1020623.4449431533,0.28944132646982923,0.15483234371362897
2021-08-21,-631.1122068677386,1019992.3327362855,-6.183595036883463,0.15874244054374653
2021-08-24,-292.98023432927556,1019699.3525019563,-2.8723768299641157,0.15874244054374653
2021-08-31,5077.332486748791,1024776.6849887051,49.79244592331003,-0.14815766566952382
2021-09-04,859.5219382994188,1025636.2069270045,8.387407236034964,-0.3575516829695813
2021-09-07,2187.5031213895927,1027823.710048394,21.32825563894391,-0.3575516829695813
2021-09-13,-301.83071238898674,1027521.8793360051,-2.9366000165025903,0.25592316015876637
2021-09-19,-414.8316485449587,1027107.0476874601,-4.037205016140649,0.16472110618543923
2021-09-24,1246.0832924115136,1028353.1309798716,12.131971007472691,0.16472110618543923
2021-09-28,-340.8536518409407,1028012.2773280307,-3.3145584096793343,-2.015184604315312
2021-10-02,2492.885039028147,1030505.1623670588,24.249564854493332,-0.1036180745822679
2021-10-22,2732.046928821482,1033237.2092958803,26.511724818010624,-0.1036180745822679
2021-10-25,627.2227847788638,1033864.4320806592,6.070462611449089,0.5362801690428132
2021-10-29,272.94789299740506,1034137.3799736566,2.6400743127229513,0.20291339259019825
2021-11-01,55.53124922734018,1034192.911222884,0.5369813556952634,0.17202145779464662
2021-11-14,-140.57707967033338,1034052.3341432136,-1.3592926246623336,0.3957824984497371
2021-11-16,-770.9659999770032,1033281.3681432366,-7.455773508947241,0.3957824984497371
2021-11-22,-136.15723815488965,1033145.2109050817,-1.3177169583494817,-0.28151747381706116
2021-11-24,-311.73170623833903,1032833.4791988434,-3.01730776030262,0.266985624101701
2021-12-02,2117.5778100650464,1034951.0570089084,20.502606206255304,1.5316301657013032
2021-12-24,1328.8310223376063,1036279.888031246,12.839554231463222,-0.25201869073463445
2021-12-31,-141.94506661795666,1036137.9429646281,-1.369756069353309,-0.25201869073463445
2022-01-09,-919.4552947204301,1035218.4876699076,-8.873869555337947,2.20640029800776
2022-02-25,-392.50719110619144,1034825.9804788014,-3.7915396197150146,2.20640029800776
2022-03-10,-748.3454495970408,1034077.6350292044,-7.231606702131603,-0.4515553354495161
2022-03-17,883.2561307284006,1034960.8911599328,8.54148760990712,1.251093216133281
2022-03-25,675.1868504318167,1035636.0780103647,6.523790958662223,0.48835984255424236
2022-03-31,2053.500279455574,1037689.5782898202,19.82839650971509,-1.5391317572948426
